"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Globularia","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium annotinum","Lycopodium spike","Lycopodium tablets","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus mediterranea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Prunus t.","Pseudoschizaea","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Saxifragaceae","Scrophulariaceae undif.","Searsia","Smilax","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Undetermined diatom","Unknown","Urtica t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus"
"4737",NA,NA,"462","1","0","0","0","0","7","9","0","3","1","0","0","2","1","4","0","0","2","1","0","0","1","0","0","0","0","4","14","6","0","4","7","1","0","1","232","0","0","0","0","0","5","2","1","8","0","0","0","0","0","0","0","7","0","0","2","0","0","0","116","0","0","0","0","0","0","0","0","20","9","5","0","0","6","0","0","7","16","5","0","16","0","0","0","15","0","0","0","16","51","6","0","0","0","0","0","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"4841",NA,NA,"470","1","0","0","0","0","9","6","0","2","0","0","2","2","0","2","1","0","2","0","0","0","1","0","0","0","0","1","7","3","0","9","8","0","1","0","238","0","0","0","0","1","4","3","7","1","0","0","0","0","0","0","0","7","0","0","2","0","0","0","133","0","0","0","0","0","0","0","0","31","8","4","0","0","5","0","0","8","10","2","0","12","1","0","0","13","0","0","0","12","49","15","0","0","1","0","0","6","5","1","0","0","1","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","2","1"
"4922",NA,NA,"476","1","0","0","0","0","7","8","0","2","0","0","3","1","0","3","1","0","4","0","0","0","0","0","0","0","0","6","7","3","0","4","4","0","0","1","219","0","0","0","0","0","9","0","0","7","0","0","0","0","0","0","0","10","0","0","4","0","0","0","169","0","0","0","0","0","0","0","2","15","7","4","0","0","6","0","0","13","22","2","0","20","0","0","0","11","0","0","0","21","57","12","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","1","0"
"4977",NA,NA,"480","1","0","0","0","0","19","12","1","4","0","0","0","3","0","5","3","0","5","0","0","0","0","0","0","0","0","8","7","4","0","4","8","0","0","0","237","0","0","0","0","3","3","2","0","12","0","0","0","0","0","0","0","8","0","0","3","0","0","0","184","0","0","0","0","0","0","0","0","8","2","7","0","1","3","0","1","10","19","2","0","9","1","0","0","20","0","1","0","14","46","5","0","0","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"5090",NA,NA,"488","1","0","0","0","0","8","9","2","2","0","0","0","2","1","3","2","0","6","0","0","0","0","0","0","0","0","3","21","1","0","0","10","0","0","0","249","0","0","0","0","0","8","2","3","8","0","1","0","0","0","0","0","15","0","0","5","0","0","0","178","0","0","0","0","0","0","0","1","4","5","4","0","0","3","0","0","12","19","2","0","16","0","0","0","12","0","1","0","17","39","12","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"5205",NA,NA,"496","1","0","0","0","0","11","8","0","1","2","0","1","1","0","4","1","0","8","0","0","0","0","0","1","0","0","3","10","3","0","5","9","0","0","1","266","0","0","0","0","0","6","4","1","9","0","0","0","0","0","0","0","12","0","0","5","1","0","0","174","0","0","0","0","1","0","0","0","5","5","4","0","0","9","0","0","8","15","7","0","14","0","0","1","18","0","2","0","22","34","18","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
"5321",NA,NA,"504","1","0","0","0","0","10","9","0","3","1","0","0","1","0","3","0","0","7","0","0","0","0","0","0","0","0","2","10","5","0","1","2","0","0","0","303","0","0","0","0","0","5","1","1","3","1","0","0","0","0","0","0","10","0","0","0","0","1","0","136","0","0","0","0","0","0","0","0","0","4","1","0","0","2","0","0","7","15","3","0","10","0","0","0","41","0","1","0","6","13","19","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","0","0","0","0","0","0","0"
"5409",NA,NA,"510","1","0","0","0","0","8","5","0","2","0","0","0","1","1","4","0","0","6","0","0","0","0","0","0","0","0","5","18","1","0","3","9","0","0","0","291","0","0","0","0","0","7","6","0","9","0","0","0","0","0","0","0","11","0","0","1","0","0","0","114","0","0","0","0","0","0","0","0","1","5","0","0","1","10","0","0","8","5","4","0","7","1","0","0","22","0","1","0","23","13","12","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0"
"5497",NA,NA,"516","1","0","0","0","0","2","9","0","3","2","0","0","3","1","3","0","0","1","0","0","0","0","0","0","0","0","2","22","2","0","0","9","0","0","0","307","0","0","0","0","0","11","0","0","7","0","0","0","0","0","0","0","18","0","0","1","0","0","0","95","0","0","0","0","0","0","0","0","0","10","0","0","0","3","0","0","11","11","1","1","13","0","0","1","5","0","0","0","16","6","17","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"5555",NA,NA,"520","1","0","0","0","0","3","8","0","4","1","0","1","1","3","4","1","0","0","1","0","0","0","0","0","0","0","2","12","3","0","0","13","0","0","2","303","0","0","0","0","0","13","3","3","7","0","0","0","0","0","0","0","21","0","0","2","1","0","0","125","0","0","0","0","0","0","0","0","0","9","0","0","3","3","0","0","10","11","2","0","14","0","0","0","10","0","0","0","11","17","9","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
