"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alnus","Amaranthaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lonicera","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Rubiaceae undif.","Rumex t.","Salix","Thymelaeaceae undif.","Typha","Unknown (type 128, HdV)","Urtica t.","Vitis","charcoal"
"7400.3",NA,NA,"340","0","31","1","5","0","7","3","0","1","0","2","0","0","0","0","0","0","0","9","0","0","8","0","0","0","28","0","13","3","0","183","0","0","5","0","3","14","238","2","10","21","1","0","0","16","13","0","2","0","0","1","0","0","4","0","0","165"
"7479.8",NA,NA,"343","0","9","2","2","0","7","19","0","0","0","3","0","0","1","0","0","2","0","9","0","1","2","0","1","1","50","0","16","5","0","166","0","0","7","0","0","15","231","0","2","20","1","0","0","13","4","0","1","0","0","1","0","0","2","0","0","66"
"7585.0",NA,NA,"347","2","12","0","0","0","10","21","0","1","0","1","0","0","0","0","0","2","4","12","0","0","6","2","1","0","17","0","12","10","2","177","0","0","7","0","0","17","225","0","3","23","2","0","0","10","12","0","3","0","0","3","0","0","0","0","0","72"
"7662.7",NA,NA,"350","1","30","2","1","0","4","7","0","1","0","2","0","0","0","2","0","4","5","7","0","0","5","2","4","0","51","0","11","7","0","170","0","2","4","0","0","18","218","3","4","18","5","0","0","23","9","0","8","0","0","0","0","0","6","0","0","60"
"7794.7",NA,NA,"355","0","22","0","3","0","12","7","0","0","0","2","3","0","0","0","0","0","0","5","0","2","3","1","1","0","40","0","12","6","3","151","0","3","4","0","0","19","209","0","5","15","0","0","0","15","6","0","1","0","0","0","0","0","5","0","0","142"
"7935.0",NA,NA,"360","2","28","0","4","0","4","6","0","1","0","1","3","0","0","0","0","3","0","11","0","0","2","1","2","0","31","0","10","6","1","143","0","0","3","0","0","12","197","2","0","14","4","0","0","14","3","0","0","0","0","0","0","2","9","0","0","38"
"8069.8",NA,NA,"365","3","19","1","2","0","10","9","0","2","0","1","0","0","2","0","0","4","0","10","0","0","4","2","4","0","29","0","19","0","0","162","0","0","3","0","0","11","199","0","7","15","4","0","0","15","6","0","0","0","0","1","0","2","8","0","0","99"
"8149.5",NA,NA,"368","0","9","0","3","3","9","10","0","2","0","0","0","0","0","1","0","5","0","8","0","0","7","5","4","0","33","0","25","4","0","191","0","0","6","0","0","12","178","0","3","13","0","0","0","18","9","0","7","0","0","0","0","1","7","0","0","70"
"8230.5",NA,NA,"371","2","20","1","0","0","9","5","0","0","4","2","0","0","0","0","0","2","3","9","0","0","5","3","5","0","24","0","21","5","0","186","0","0","7","0","0","13","218","0","2","22","3","0","0","10","10","0","2","0","0","4","0","0","7","0","0","45"
"8313.8",NA,NA,"374","0","24","0","4","0","8","11","0","1","0","2","0","0","1","0","0","2","0","10","0","0","4","0","3","0","19","0","16","4","1","178","0","1","8","0","0","10","240","1","3","23","0","0","0","13","4","0","3","1","0","0","0","0","6","0","0","58"
"8416.5",NA,NA,"378","2","29","0","1","0","7","6","0","2","2","3","2","0","0","0","0","1","1","12","0","0","7","3","3","0","17","0","13","3","0","180","0","0","4","0","0","10","261","3","2","14","2","0","0","9","6","0","2","0","0","1","1","0","5","0","0","25"
