"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Cyperaceae","Ephedra","Erica/Arbutus","Euphorbia t.","Fabaceae Undif.","Fern-Equisetophyta","Fungi","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Morella faya","Olea t.","Pinus canariensis","Plantago","Poaceae (<47 Âµm)","Poaceae (>47 Âµm)","Pollen concentration","Polygonum t.","Quercus deciduous","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorbineae","Ulmus t.","Unknown","Urtica t.","cf. Adenocarpus","cf. Aeonium","cf. Typhaceae/Potamogetonaceae"
"2364.00",NA,NA," 404.00","  11.00","   0.00","   1.00","   0.00","   8.00","  78.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00"," 181.00","   0.00","  25.00","   0.00","7641.45","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","  28.00","   0.00","   1.00","   0.00","   0.00"
"2388.00",NA,NA," 412.00","   2.00","   0.00","   0.00","   1.00","   3.00","  27.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 243.00","   0.00","  12.00","   0.00","5688.99","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00"
"2429.000",NA,NA," 420.000","   6.000","   0.000","   1.000","   0.000","   6.000","  23.000","   0.000","   0.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 411.000","   0.000","  34.000","   0.000","4390.197","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","  28.000","   0.000","   0.000","   0.000","   0.000"
"2523.00",NA,NA," 428.00","   0.00","   0.00","   0.00","   0.00","   4.00","   7.00","   0.00","   2.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"," 450.00","   0.00","  40.00","  12.00","7322.65","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","  26.00","   0.00","   0.00","   0.00","   0.00"
"2616.00",NA,NA," 436.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  30.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 495.00","   0.00","  11.00","   2.00","2081.73","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00"
"2710.00",NA,NA," 444.00","   2.00","   0.00","   0.00","   0.00","   2.00","  11.00","   3.00","   5.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  31.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 454.00","   0.00","  14.00","   4.00","6914.66","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"
"2803.00",NA,NA," 452.00","   0.00","   0.00","   0.00","   0.00","   3.00","  18.00","   0.00","   1.00","   0.00","  45.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00"," 401.00","   0.00","  37.00","   0.00","3916.05","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","  22.00","   0.00","   0.00","   0.00","   0.00"
"2870.000",NA,NA," 460.000","   4.000","   3.000","   0.000","   0.000","  10.000","  16.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000"," 408.000","   0.000","  56.000","   4.000","6248.467","   0.000","   0.000","   2.000","   1.000","   1.000","   0.000","   1.000","  14.000","   0.000","   0.000","   0.000","   2.000"
"2948.00",NA,NA," 470.00","   6.00","   0.00","   0.00","   1.00","   9.00","  23.00","   0.00","  21.00","   0.00","  87.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00"," 346.00","   0.00","  29.00","   2.00","3993.38","   0.00","   0.00","   3.00","   2.00","   0.00","   1.00","   0.00","  39.00","   0.00","   0.00","   0.00","   0.00"
"3167.000",NA,NA," 498.000","   0.000","   0.000","   2.000","   0.000","   4.000","   7.000","   0.000","   3.000","   0.000","  47.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","  30.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000"," 332.000","   2.000"," 109.000","  10.000","3093.413","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","  71.000","   0.000","   0.000","   1.000","   0.000"
"3230.000",NA,NA," 506.000","   3.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","  40.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000"," 430.000","   0.000","  27.000","   1.000","2679.384","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   1.000","   0.000"
"3292.00",NA,NA," 514.00","   0.00","   0.00","   0.00","   0.00","   5.00","  45.00","   3.00","   0.00","   0.00"," 187.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 331.00","   0.00","  31.00","   3.00","3142.11","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","  24.00","   0.00","   1.00","   4.00","   0.00"
"3355.000",NA,NA," 522.000","   0.000","   0.000","   0.000","   0.000","   3.000","  15.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 248.000","   0.000","  13.000","   0.000"," 847.691","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  26.000","   0.000","   0.000","   0.000","   0.000"
"3417.000",NA,NA," 530.000","   8.000","   0.000","   0.000","   0.000","   4.000","  17.000","   0.000","   1.000","   0.000","  40.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000"," 426.000","   0.000","  33.000","   4.000","7490.345","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000"
"3480.0",NA,NA," 538.0","   1.0","   0.0","   0.0","   0.0","   8.0","  30.0","   0.0","   2.0","   0.0","  72.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0"," 356.0","   0.0","  31.0","   0.0","2341.1","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  24.0","   0.0","   0.0","   0.0","   0.0"
