Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
64.5,--/148333/--,160279/159478/158653,,101,12077,2,,15,1,,8,13,6,59,5,4,,2,,,13,1,,,,6,3,,1,,1,,1,,,,,29,,,2,,,,,,,,,2,,,43,,1,,100,,3,,,,,,178,,,3,7,1,,4,,,1,3,,4,,,
65.5,--/151848/--,163390/162589/161764,,225,12077,3,,3,,,1,18,5,92,11,6,,,,,,1,,1,,2,1,,,,,2,,,,,,68,,,4,,,,,,,,,,,,32,,,,93,,1,,1,,1,,28,,,,2,,,1,,,4,,1,,,,
66.5,--/155364/--,166503/165699/164875,,115,12077,2,,12,,,3,16,4,62,8,12,,,,,9,2,1,1,,,,,2,,1,,,,,,,12,,,1,,,,,,,,,3,,,84,,,,87,,1,,,,,,35,,,,3,,,1,,,9,,,1,,,
67.5,--/158879/--,169614/168809/167984,,381,12077,2,,4,,,2,24,1,59,2,1,,1,,,,,,3,,12,1,,2,,1,,,,,,,18,,,9,,,,1,,,,,3,,,97,,,,79,,6,,1,1,,,95,,,,1,2,,1,,,2,,,3,,,1
68.5,--/162394/--,172725/171919/171092,,218,12077,2,,3,,,4,24,3,91,5,,,1,,,3,2,1,1,,6,1,,2,,,,,,,,,14,,,6,,,,,,,,,1,,,119,,,,90,,,,,2,,,137,,,,1,,,,,,1,,,4,,,2
69.5,--/165909/--,175837/175029/174199,,269,12077,2,,4,1,,2,14,1,57,3,6,,1,,,,1,,2,,4,,,,,,1,,,1,,,16,,,5,,,,4,,,,,2,,,97,,1,,88,,1,,,,,,112,,,,6,,,,,,1,,,1,,,
70.5,--/169424/--,178950/178139/177306,,374,12077,3,,3,,,4,29,5,68,2,3,,,,,,,1,2,,16,,,2,,2,,,,,,,12,,,3,,,,1,,,,,,,,80,,1,,80,,1,,,,,,111,,,1,3,,,1,,,1,,,5,,,
71.5,--/172939/--,182061/181250/180411,,571,12077,3,,1,,,,40,,53,9,1,,,,,,9,2,2,1,1,,,1,,,,,,1,,,55,,,2,,,,,,,,,,,1,74,,,,26,2,1,,,,,,87,,,,1,1,,1,,,3,,,,,,
72.5,--/176455/--,185175/184360/183516,,899,12077,3,,3,,,1,20,1,40,7,,,1,,,,8,,5,,7,,,,,,,,,1,,,30,,,3,,,,,,,,,2,,,60,,,,69,,4,,,1,,,86,,,,1,,,,,,,,,7,,,
73.5,--/179970/--,188289/187470/186618,,215,12077,3,,5,,,,55,2,71,5,1,,,,,,2,,2,1,1,,,1,,,,,,,,,21,,,,,,,,,,,,1,,,39,,1,,46,,5,,,1,,,68,,,,6,,,1,,,,,,1,,,
