Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,EPD Radiocarbon years BP,Abies,Acer,Aesculus,Alisma,Allium-type,Alnus,Amaranthaceae,Anchusa/Pulmonaria,Anemone,Anthericum-type,Anthoceros laevis-type spore,Apiaceae,Araceae,Arctium/Jurinea,Armeria/Limonium,Artemisia,Asperula-type,Asphodelus albus-type,Asteroideae,Betula,Botrychium spore,Brassica-type,Bunium-type,Butomus umbellatus,Calligonum,Callitriche,Caltha-type,Campanula-type,Capsella-type,Carduus-type,Carthamus,Carya,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes-type spore,Cichorioideae,Cirsium/Gundelia,Convolvulus,Cornus,Corylus,Cousinia,Cyperaceae,Delphinium-type,Dipsacus-type,Dryopteris-type spore,Echium-type,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagopyrum,Fagus,Ferula-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Geranium,Glaucium,Gossypium,Haplophyllum,Helianthemum,Hippophaë,Humulus/Cannabis,Hydrocotyle-type,Hypericum perforatum-type,Isoetes spore,Juglans,Juniperus,Knautia,Linum,Lomelosia rotata-type,Lycopodium spore,Lysimachia,Maianthemum-type,Malabaila,Malva,Matricaria-type,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Narthecium-type,Nigella,Noaea-type,Nuphar,Olea,Onopordum-type,Orobanche,Ostrya/Carpinus orientalis,Phillyrea,Picea,Pimpinella-type,Pinus,Plantago lanceolata-type,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanum colony,Pseudopediastrum kawraiskyi colony,Pteridium spore,Pteris spore,Quercus cerris-type,Quercus coccifera-type,Quercus ilex-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rhus,Roemeria,Rosaceae,Rumex acetosa-type,Salix,Sambucus nigra-type,Scabiosa columbaria-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Sisyrinchium,Sparganium-type,Spergularia-type,Sphagnum spore,Stachys-type,Symphytum-type,Tamarix,Taxus,Thalictrum,Thymus/Mentha,Tilia,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown spore,Urtica dioica-type,Utricularia,Valeriana,Valerianella,Vitex agnus-castus,Vitis,cf. Equisetum spore,cf. Lycopodium clavatum spore,cf. Prosopis
460,13544/13243/12981,--/11284/--,5,,,,,3,86,,,,,,,,,93,,,6,6,,2,,,,,,1,3,,,,,,110,,,10,,7,1,,,,,88,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,68,2,,100,10,1,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,165,,,,,,,,,1,,,,1,,1,,,,,,3,,
470,14414/14074/13779,--/11964/--,8,,,,,,71,,,,,1,,1,,119,,,5,12,2,,,,,,,,2,,,8,1,,475,,,10,,6,,,,,1,7,,,,,,3,,,,,2,1,,1,,,,,2,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,51,4,,66,13,1,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,2,1,,,,,,,,,
480,15284/14905/14576,--/12645/--,9,,,,,2,130,,,,,1,,,,238,1,,6,6,,,,,,,,1,5,,2,4,2,,410,,,8,,5,1,,,2,2,11,,,2,,,4,,,,,2,,,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,10,,,,,,,,,,,,1,,116,6,,54,12,6,1,,,,,,2,,2,15,,,,,,,,,,,,,1,,,1,,5,,,,,,,1,,,,,,2,1,1,,,,,,,,
490,16155/15736/15374,--/13325/--,24,,,,,3,110,,,1,,,,,1,136,,,5,5,2,1,,,,,,,3,,,3,3,,532,,,13,,4,,,,1,1,6,,1,,,,3,,,1,,3,,,1,,,,,2,,,,,2,1,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,91,5,,68,20,4,,,,,,,,,,15,,,1,,,,,,,1,,,,,,,,4,,,1,,,,2,,,1,,1,3,1,2,,,,,,,,
500,17027/16567/16172,--/14006/--,8,,,,,,48,,,,,4,,,,63,,,6,3,,,,,,,,,,,,2,1,,178,,,8,,9,,,,2,2,9,,,,,,,,1,1,,,,,,,,,,1,3,,,,1,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,3,,125,1,,38,5,1,,,,,1,,,,,14,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,
510,17899/17398/16969,--/14686/--,5,3,,1,1,3,119,,,,,1,,1,,432,,,7,10,,,,1,,,,,,,,3,7,,228,,,15,,4,2,,,1,1,21,1,1,2,,,3,1,,2,,1,2,,,1,,,,6,,,,,6,,,,,1,,1,,,,1,,,,,20,1,23,,,,,,,,,,1,,163,14,,126,19,3,,,,,,,,,,37,,,,,,,,,,,,,1,,,4,,1,,1,,,,,15,,,,,,2,,3,,,,,,,,
520,18772/18229/17766,--/15367/--,10,3,,,9,1,210,,,,,4,1,,,122,,,43,16,,1,,1,,,1,,,1,,4,10,,125,1,,95,,110,2,1,,,2,25,1,,2,1,,1,,,,,,,,1,1,,,1,3,,,,,2,4,,,,,1,1,,,1,,,,,,16,,,,,,,,,,1,3,2,,133,5,,38,11,4,,,,2,3,,,,1,76,,,3,,,1,,,,3,1,,,,,5,,5,,,1,1,,,2,1,,,,,5,4,1,,,,,1,,,
525,19207/18645/18163,--/15707/--,3,,,4,,1,283,,,,,7,,,1,150,,,40,1,,,,,,,,,,,,,2,,143,1,,218,,176,12,,,,3,20,18,,3,,,2,1,,,,3,,,,5,,,,2,1,1,,,1,,,,,,,,1,,2,,,2,,,8,,,,,,,,,,,,,,240,1,,44,15,8,,,,,4,,,,,6,,,,,,,,,,,,,,,,1,,4,,,,,,,2,1,,,,,,2,,,,,,,,,
530,19643/19060/18561,--/16047/--,10,,,1,,1,87,,,,,1,,,3,402,,,10,14,,1,,3,,,1,1,,,,6,7,,197,1,,21,,8,2,,,,,31,,,1,,,6,,,1,,1,2,,,2,,,,8,,,,,14,1,,,,,,1,,,1,,,,,,24,,,,,,,,,,,,,1,223,17,,137,17,3,,,,,,,,,,25,,,2,,,,,,,,,,,,,5,,3,,,,,,,10,1,1,,,,1,1,,,,,,,,,
535,20080/19476/18960,--/16387/--,15,,,,,2,164,,,,,7,,2,1,614,,,17,12,,3,,,,,,,,,,8,8,,400,,,15,,9,1,,,,,36,,1,1,,,5,2,1,,,3,,1,,1,1,,,4,,1,,,12,6,,,1,,,,1,,1,,,,,,33,,,,,,,,,,,,,1,142,5,,151,17,4,,,1,,,,,,,39,,,3,,,2,,,,,,,,,,7,1,6,,,,,,,15,,,,,,3,,1,,,,,,,,
540,20516/19891/19358,--/16728/--,9,1,1,,,2,67,,,,,2,,1,1,277,,,7,8,,,,1,,,,1,1,,,5,4,,197,,,6,,6,2,,,1,1,17,,,3,,,2,1,1,,,,,,,1,1,,,9,,,,,5,2,,1,2,,,1,,,,,,,,,17,,,,,,,,,3,,,,,148,3,,122,24,3,,,,,,,,,,15,,,2,,,,,,,,,,1,,,3,,2,,,,,,,7,2,,,,,4,1,,,1,,,,,,
