Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
750,17780/16638/15432,--/22729/--,--/15834/--,,,1,,,20,4,47,2,17,1,,,1,,2,,5,1,,5,,1,1,4,,,2,,2,1,,30,38,,,9,,,,146,,,,16,,2,1,,1,,,,,1,,
770,18846/17433/15944,--/23078/--,--/16180/--,,,3,,,1,3,68,,3,,,,1,,,,,,,16,,1,,,,,4,,2,1,3,65,,,,13,,,3,106,,,,6,,2,1,,1,,,1,,1,,
790,19920/18229/16457,--/23422/--,--/16526/--,,,,,1,22,1,67,1,3,1,,,,,,,,2,,4,,2,,,,,6,,2,,3,32,,,1,16,,3,,85,,,,2,,3,2,,,,,,,,,
800,20459/18626/16716,--/23593/--,--/16699/--,,,7,,1,32,5,105,1,2,1,,,3,,,,2,,,7,,2,,3,,,1,,4,4,9,64,,,,17,,,,104,,,,4,,1,,,1,,,3,,,,
820,21538/19422/17232,--/23933/--,--/17045/--,,,4,,,41,1,101,,3,2,,,5,,,,3,,,3,,2,,3,,,1,,4,2,1,35,,,,21,,,2,88,,,,1,1,4,,,,,,2,,1,,
840,22621/20217/17748,--/24268/--,--/17390/--,,,2,,,21,3,67,,1,3,,,,,,,,,,2,,2,,,,,1,,1,,3,41,,,,17,,,2,68,,1,,1,,,1,,3,,,,,,,
860,23705/21012/18262,--/24601/--,--/17736/--,1,,1,,,10,,51,1,,1,,,1,,,,2,2,,6,,,,1,,,5,,5,2,,27,,,1,85,,,2,124,,,,6,,,,,3,,,1,1,,,
880,24788/21807/18775,--/24930/--,--/18082/--,,,3,,,12,3,58,2,,1,,,1,,,,,,,9,,1,,2,,,7,,3,2,1,23,,,,54,,,6,158,,,,2,,1,,,3,,,5,,,,
901,25925/22642/19311,--/25272/--,--/18445/--,,,1,,,6,1,41,2,3,,,,2,,,,1,,,14,,2,,,,,4,,11,2,1,27,,,,39,,,2,94,,,,,,1,1,,,,,,,1,,
920,26954/23398/19800,--/25579/--,--/18773/--,,,5,,,3,2,28,2,,,,,1,,,,1,,,2,,1,,,,,4,,5,,2,47,,,,35,,,3,83,,,,3,,,1,,2,,,,,,,
